ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
BAM,KBAM,Battle Mountain,BATTLE MOUNTAIN,NV,40.59905555555556,-116.87433333333333,4536.1,4,7300,2,F944D06D-6E4D-4AA5-82EE-7D149FEBC55F
05U,,Eureka,EUREKA,NV,39.60375,-116.00361111111111,5957.8,1,7300,1,7C127000-2466-4CCA-B3E7-B17D6931072F
LAS,KLAS,Harry Reid Intl,LAS VEGAS,NV,36.08034277777778,-115.15244861111111,2183.1,4,14835,4,FFAE2022-BD69-475C-801F-3C80B7FCB36B
RNO,KRNO,Reno/Tahoe Intl,RENO,NV,39.49911111111111,-119.76811111111111,4414.9,3,11001,2,61C9271A-FA20-4F4B-93E8-35153BF9AC6D
TPH,KTPH,Tonopah,TONOPAH,NV,38.05989361111111,-117.08660083333334,5430.3,3,7160,1,F1B9E45A-FA23-418F-B243-A4DCCB6BBBD7
WMC,KWMC,Winnemucca Muni,WINNEMUCCA,NV,40.89661111111111,-117.80588888888889,4307.6,4,7000,1,022F0350-1F45-47F7-B54B-E8FEA6746AD2
ALB,KALB,Albany Intl,ALBANY,NY,42.749116111111114,-73.80198,284.8,2,8500,2,694277CB-0B49-4057-BA9E-063312774678
BUF,KBUF,Buffalo Niagara Intl,BUFFALO,NY,42.94042722222222,-78.73056972222223,726.8,2,8829,2,AEA07BBA-4950-4BB0-9E5B-B23382DA9E57
BGM,KBGM,Greater Binghamton/Edwin A Link Fld,BINGHAMTON,NY,42.208444444444446,-75.97961111111111,1635.6,3,7305,1,25664E48-E56D-4067-9105-FA4EB41CD0CB
ELM,KELM,Elmira/Corning Rgnl,ELMIRA/CORNING,NY,42.15985472222222,-76.89174777777778,955.1,3,8001,1,F930FB2C-D32B-4AFB-AD4E-9A12AFD43EB6
SWF,KSWF,New York Stewart Intl,NEW YORK,NY,41.50411111111111,-74.10483333333333,490.7,3,11817,1,D2A35830-BD0B-45CB-AD72-E01F4A1F2AAC
ISP,KISP,Long Island Mac Arthur,NEW YORK,NY,40.796135694444445,-73.10066505555555,98.7,5,7006,1,1E4DF288-0713-40C1-973E-FC19642CEDC4
JFK,KJFK,John F Kennedy Intl,NEW YORK,NY,40.63992805555556,-73.77869222222222,13.0,4,14511,4,DD5FB154-0787-4B0F-8554-C033FAFA0155
LGA,KLGA,Laguardia,NEW YORK,NY,40.77724222222222,-73.87260555555555,20.7,3,7002,2,E866CAA3-781C-4162-8C31-D16CC9E3E92E
IAG,KIAG,Niagara Falls Intl,NIAGARA FALLS,NY,43.10841444444445,-78.94619611111112,592.3,2,9826,1,5D681D3E-968F-4C7D-844F-A2621971F9AB
PBG,KPBG,Plattsburgh Intl,PLATTSBURGH,NY,44.65094444444444,-73.46813888888889,234.2,1,11759,1,3DA73348-B79B-4144-8A5E-A915D2B5499A
SYR,KSYR,Syracuse Hancock Intl,SYRACUSE,NY,43.11118138888889,-76.10632055555556,421.1,2,9013,2,E02868CF-B419-4481-B27F-C23D4AFBA395
ART,KART,Watertown Intl,WATERTOWN,NY,43.99183333333333,-76.01941666666667,330.8,2,7001,1,CAB249D6-B2CF-49BB-92C4-99027131E030
FOK,KFOK,Francis S Gabreski,WESTHAMPTON BEACH,NY,40.84361861111111,-72.63181194444444,66.1,3,9002,1,D761087A-BFF9-40A4-91AD-4A1DF53A6836
ROC,KROC,Frederick Douglass/Greater Rochester Intl,ROCHESTER,NY,43.11914361111111,-77.6718688888889,558.9,3,8001,1,89204BC8-EA63-4443-B54D-3E13DF78101D
RME,KRME,Griffiss Intl,ROME,NY,43.23379944444444,-75.40702583333334,504.0,1,11820,1,A2773CC5-4553-475F-B2C8-E1AC400EAF84
SCH,KSCH,Schenectady County,SCHENECTADY,NY,42.852718333333335,-73.92956444444445,377.9,2,7001,1,27AE2E4D-3D7E-43B5-BEDD-A16E2446E5C4
B04,,Garnseys,SCHUYLERVILLE,NY,43.06764305555556,-73.58384027777777,100.0,2,9999,1,75EE9BFB-BAAA-4526-84F2-F82F6C2AD759
CAK,KCAK,Akron-Canton Rgnl,AKRON,OH,40.915055555555554,-81.4436388888889,1225.5,2,8204,2,F4C6AD3C-85B3-4FB1-BF9D-7BA46800BDD4
LCK,KLCK,Rickenbacker Intl,COLUMBUS,OH,39.813787,-82.92781372222223,743.9,3,12103,2,96BE047C-36B3-402F-A24D-1D954A15E2E6
CMH,KCMH,John Glenn Columbus Intl,COLUMBUS,OH,39.996946666666666,-82.89215916666667,815.0,2,10114,2,91656269-4127-4F99-80A5-15A205E71134
CLE,KCLE,Cleveland-Hopkins Intl,CLEVELAND,OH,41.40940694444444,-81.85469111111111,799.5,3,9953,2,2A962A82-442A-4A82-9535-214B1B978E2E
DAY,KDAY,James M Cox Dayton Intl,DAYTON,OH,39.902252222222224,-84.21941222222222,1009.1,3,10901,3,47C23BAA-9E60-4B22-B8E3-F260373F79BA
MFD,KMFD,Mansfield Lahm Rgnl,MANSFIELD,OH,40.82141666666667,-82.51663888888889,1297.0,2,9001,1,9D142D98-2A28-41E8-AA2D-06D41A53FCC4
SGH,KSGH,Springfield/Beckley Muni,SPRINGFIELD,OH,39.84027777777778,-83.84016666666666,1051.3,2,9010,1,DC8C84D9-824A-4DD8-864D-D29917D73115
TOL,KTOL,Eugene F Kranz Toledo Express,TOLEDO,OH,41.58681666666667,-83.80782666666667,683.9,2,10600,1,F217CCBC-5F1C-4905-9EE8-CCB82259CE68
ILN,KILN,Wilmington Air Park,WILMINGTON,OH,39.42791666666666,-83.79211111111111,1076.7,2,10701,2,65CD09BA-0B23-4074-A3C4-D7B94EF4ADD3
YNG,KYNG,Youngstown/Warren Rgnl,YOUNGSTOWN/WARREN,OH,41.26158972222222,-80.6803663888889,1191.5,3,9003,1,B3F2371D-A57C-4CEF-A8B8-129214437CD2
ADM,KADM,Ardmore Muni,ARDMORE,OK,34.30387344444444,-97.02059738888889,776.7,2,9002,1,DD3FCA62-082D-4947-9906-BC1B869AF94C
MKO,KMKO,Muskogee-Davis Rgnl,MUSKOGEE,OK,35.65775,-95.36163888888888,611.5,3,7202,1,BA982C7F-F767-40F7-9BFE-E488C8942BD3
CSM,KCSM,Clinton/Sherman,BURNS FLAT,OK,35.33983916666667,-99.20049944444445,1922.1,2,13503,1,ED4FF031-77B5-472A-BD99-08825F00B4D9
WDG,KWDG,Enid Woodring Rgnl,ENID,OK,36.37595555555556,-97.78942277777777,1167.2,2,8613,1,183DFC80-64D9-46B3-9005-9B69692C2240
LAW,KLAW,Lawton-Fort Sill Rgnl,LAWTON,OK,34.56771444444445,-98.41663666666668,1110.3,1,8599,1,6160208C-3B43-4CD2-A293-39D0E9CAE52D
OKC,KOKC,OKC Will Rogers Intl,OKLAHOMA CITY,OK,35.393072777777775,-97.60076555555555,1295.5,4,9802,3,43959DC9-0966-4841-A6F7-B8A784242500
PWA,KPWA,Wiley Post,OKLAHOMA CITY,OK,35.53400991666666,-97.64694744444445,1299.6,3,7199,1,A6A3C813-E249-44E8-9829-354AC1360272
PNC,KPNC,Ponca City Rgnl,PONCA CITY,OK,36.73195472222223,-97.09978222222222,1008.6,1,7201,1,48D84549-42BD-48A7-9A50-CE4BED4EDD0A
TUL,KTUL,Tulsa Intl,TULSA,OK,36.19839333333333,-95.88810527777778,677.8,3,10000,2,68E20291-FCD0-46C3-91B3-4A0B3CCA9D82
SWO,KSWO,Stillwater Rgnl,STILLWATER,OK,36.161389444444445,-97.08589333333333,1000.3,2,7401,1,FBECA4C2-2447-4D26-8CBF-4FF63CDB6BD5
LMT,KLMT,Crater Lake/Klamath Rgnl,KLAMATH FALLS,OR,42.15614305555555,-121.733365,4095.4,2,10302,1,DE9A943E-2672-4EEB-8C3A-4F3C72B18B03
MFR,KMFR,Rogue Valley Intl/Medford,MEDFORD,OR,42.374964722222224,-122.87328749999999,1335.3,1,8800,1,9B55A7F0-9618-49A8-8EC1-D3ABB0DB8F04
RDM,KRDM,Roberts Fld,REDMOND,OR,44.25406888888889,-121.1499713888889,3081.5,3,7038,2,FF4845C1-C954-433B-957A-0133A91C7953
EUG,KEUG,Mahlon Sweet Fld,EUGENE,OR,44.124583333333334,-123.21197222222223,373.7,2,8009,1,F69FF4DE-0F5F-4658-B4D1-7E6F7B44888D
PDX,KPDX,Portland Intl,PORTLAND,OR,45.588708861111115,-122.59686941666666,30.8,3,11000,2,3B44B4F3-705A-4A4D-AEBC-19BAF63DA508
ABE,KABE,Lehigh Valley Intl,ALLENTOWN,PA,40.652362777777775,-75.44040583333334,393.7,2,7599,1,2FDD3F64-8247-4330-B6C8-DA8901A15A82
ERI,KERI,Erie Intl/Tom Ridge Fld,ERIE,PA,42.083083333333335,-80.17394444444444,732.1,2,8420,1,06A9CA3C-B00C-42EF-9EB3-7FB5D52FBD1E
MDT,KMDT,Harrisburg Intl,HARRISBURG,PA,40.193191666666664,-76.76261916666667,310.0,1,10001,1,E97F00B3-9377-4E45-8FD9-4EC5B76DBD2A
JST,KJST,John Murtha Johnstown/Cambria County,JOHNSTOWN,PA,40.315555555555555,-78.83466666666666,2284.2,2,7004,1,D00A664C-57FE-4F57-A956-BFFEF8283FB1
LBE,KLBE,Arnold Palmer Rgnl,LATROBE,PA,40.2731005,-79.41032555555556,1198.7,1,8222,1,EB610171-9867-4087-B3AF-091561644555
PHL,KPHL,Philadelphia Intl,PHILADELPHIA,PA,39.87208388888889,-75.24066305555556,35.9,4,12000,2,43D58CEC-68DC-44C1-A241-0A33C0F29415
PNE,KPNE,Northeast Philadelphia,PHILADELPHIA,PA,40.08193833333333,-75.01057777777778,119.8,2,7000,1,2AEAD4CA-C441-49F4-B581-9D78730705C4
PIT,KPIT,Pittsburgh Intl,PITTSBURGH,PA,40.491416666666666,-80.23269444444445,1202.9,4,11500,4,5299275F-0A25-470C-BA0F-9531DCD9727B
AVP,KAVP,Wilkes-Barre/Scranton Intl,WILKES-BARRE/SCRANTON,PA,41.33847222222222,-75.72338888888889,961.7,2,7502,1,0C89BF21-1076-4434-BB39-DC1226552D1E
PVD,KPVD,Rhode Island TF Green Intl,PROVIDENCE,RI,41.72233333333334,-71.42772222222223,54.0,2,8700,1,3F706D32-8D17-40DB-8A06-71C13F2158F1
CAE,KCAE,Columbia Metro,COLUMBIA,SC,33.93883805555555,-81.11953555555554,235.9,3,8601,2,D8F069D9-DBC1-4921-B541-CC2D52F73AAD
OQU,KOQU,Quonset State,NORTH KINGSTOWN,RI,41.5974075,-71.41240944444445,18.3,4,7000,1,1BB41A65-5DF9-45E8-9EB1-AFECBBC0756E
CHS,KCHS,Charleston AFB/Intl,CHARLESTON,SC,32.89863888888889,-80.04052777777778,46.0,2,9001,2,23070648-7D86-4732-944B-870531F0FA64
GYH,KGYH,Donaldson Fld,GREENVILLE,SC,34.758312777777775,-82.37641388888888,955.9,1,8000,1,F7DFE523-85CF-4A30-9468-184FCB54ACFE
GSP,KGSP,Greenville Spartanburg Intl,GREER,SC,34.89567111111111,-82.21885944444445,963.6,1,11001,1,B88CFB35-017D-43A3-AA11-F01E274E1956
MYR,KMYR,Myrtle Beach Intl,MYRTLE BEACH,SC,33.679741111111106,-78.92832138888889,25.0,1,9503,1,82A2ABAB-D93E-4F1F-AEBB-52D0FC3D016F
HON,KHON,Huron Rgnl,HURON,SD,44.385194444444444,-98.22855555555556,1288.7,2,7201,1,E92F23E0-BD5C-48AC-A756-439A4D40C45F
RAP,KRAP,Rapid City Rgnl,RAPID CITY,SD,44.04533333333333,-103.0573611111111,3203.5,2,8701,1,6ADCC79A-6E17-4262-B85C-994F2E3F78E0
FSD,KFSD,Joe Foss Fld,SIOUX FALLS,SD,43.58201805555556,-96.74192527777778,1430.0,4,9000,2,F7203F3B-4418-4FAF-BBA0-1B0D43E63093
TRI,KTRI,Tri-Cities,BRISTOL/JOHNSON/KINGSPORT,TN,36.47520888888889,-82.407415,1518.6,2,8000,1,334676A0-1225-41C5-B0F6-345831E7072A
TYS,KTYS,Mc Ghee Tyson,KNOXVILLE,TN,35.81109111111111,-83.99406722222223,986.4,2,10000,2,C59867AC-5AAA-42FA-A514-A40F7621E67E
NQA,KNQA,Millington/Memphis,MILLINGTON,TN,35.35663888888889,-89.87043,322.4,1,8001,1,995427B3-C0DF-4944-B88B-C0C44F6CDAB9
CHA,KCHA,Lovell Fld,CHATTANOOGA,TN,35.03519444444444,-85.20355555555555,682.5,2,7400,1,82256D74-7E8D-414E-8CA2-6B7D5168FDAD
MEM,KMEM,Frederick W Smith Intl/Memphis,MEMPHIS,TN,35.04241138888889,-89.97667916666667,340.9,4,11120,4,DA96A371-EB42-4312-8EAF-FA237DE1E404
BNA,KBNA,Nashville Intl,NASHVILLE,TN,36.124475000000004,-86.67818055555556,599.0,4,11030,4,83106390-877E-4523-9894-F6FBD9DEC6EB
MQY,KMQY,Smyrna,SMYRNA,TN,36.00897027777778,-86.52008972222222,543.0,3,8038,1,AE23E72B-7BD8-4BAB-8850-1B5E66760EAD
ABI,KABI,Abilene Rgnl,ABILENE,TX,32.41133333333333,-99.68188888888889,1790.6,2,7208,2,7388ED39-1B18-4423-8D51-4BB4D95314C2
AUS,KAUS,Austin-Bergstrom Intl,AUSTIN,TX,30.194527222222224,-97.66987611111112,541.5,5,12250,2,51009197-7EEE-42C3-AB2E-497FC6EAE28C
AMA,KAMA,Rick Husband Amarillo Intl,AMARILLO,TX,35.21936111111111,-101.70591666666667,3606.7,2,13502,2,F857C61E-08EE-40A7-B902-CEBBC389C21E
LBX,KLBX,Texas Gulf Coast Rgnl,ANGLETON/LAKE JACKSON,TX,29.10863888888889,-95.46208333333334,25.2,1,7000,1,4B6780CD-665E-4A5D-8157-54D9A8387983
TX2,,Chase Fld Industrial,BEEVILLE,TX,28.362444444444446,-97.66191666666667,184.2,1,8000,1,2CBCAC2E-61DB-41EE-AD1F-9AE9078FC142
BPG,KBPG,Big Spring/Mc Mahon-Wrinkle,BIG SPRING,TX,32.21261777777778,-101.52164638888888,2572.8,2,8803,1,28FF2835-0B29-4B85-ADA9-A1F86C6DB52A
BRO,KBRO,Brownsville/South Padre Island Intl,BROWNSVILLE,TX,25.906138888888886,-97.426,22.4,2,7399,1,81BF604E-D78A-4E9A-B23D-0EFEEDF54416
CLL,KCLL,Easterwood Fld,COLLEGE STATION,TX,30.58804188888889,-96.36254444444444,320.6,2,7000,1,9135571C-6793-4D85-ADC2-F0011ACD8B2C
RBD,KRBD,Dallas Exec,DALLAS,TX,32.681305555555554,-96.86877777777777,660.5,2,7136,1,18C8BDB4-18B7-444C-A584-DD4D582B5504
ADS,KADS,Addison,DALLAS,TX,32.96855416666667,-96.83645305555555,644.2,1,7203,1,3646423B-964B-466A-9CE9-3CB43457F772
CRP,KCRP,Corpus Christi Intl,CORPUS CHRISTI,TX,27.772181666666665,-97.50242194444445,46.2,2,7510,1,F3967CE8-F09C-4C96-9525-2EEC908DC9AE
TKI,KTKI,McKinney Ntl,DALLAS,TX,33.17706527777778,-96.58876666666666,588.9,1,7002,1,19BE1828-1717-4C1C-8D93-BC1A507EB0E3
DFW,KDFW,Dallas-Fort Worth Intl,DALLAS-FORT WORTH,TX,32.89723305555555,-97.03769472222223,606.4,7,13401,7,B371E693-B91F-40ED-ABB1-628EFE9D3111
DAL,KDAL,Dallas Love Fld,DALLAS,TX,32.84594472222223,-96.85087666666666,486.9,2,8800,2,48203599-A2E2-467A-BB88-DAC28F3A7FA6
DTO,KDTO,Denton Enterprise,DENTON,TX,33.20196055555556,-97.19909750000001,642.8,2,7002,1,41950E4C-0AA6-494A-BDC8-20EC974EAD96
ELP,KELP,El Paso Intl,EL PASO,TX,31.807333333333332,-106.37636111111111,3961.6,3,12020,2,45A219BE-3302-471B-923C-DBD87DF48B07
FTW,KFTW,Fort Worth Meacham Intl,FORT WORTH,TX,32.81977027777778,-97.36245,710.1,4,7502,1,6173ACCD-C5A0-42B0-AF63-508E59B20B6E
AFW,KAFW,Perot Fld/Fort Worth Alliance,FORT WORTH,TX,32.99030666666667,-97.31942944444444,723.2,2,11125,2,8F919C0A-6FB5-4E2F-8B36-843AA0C58C60
GRK,KGRK,Robert Gray AAF,FORT HOOD (KILLEEN),TX,31.06725,-97.82891666666666,1015.2,4,9997,1,7D9F1E3C-F75D-46F8-8DB7-2F8DF0F016DA
FST,KFST,Fort Stockton-Pecos County,FORT STOCKTON,TX,30.91525,-102.91277777777778,3011.0,5,7508,1,7192F500-3985-4846-929C-ED1FC9CD42A3
GVT,KGVT,Majors,GREENVILLE,TX,33.06783333333334,-96.06533333333333,534.9,1,8030,1,502E43FD-DFC3-4D45-BE75-D53A73F66B92
HRL,KHRL,Valley Intl,HARLINGEN,TX,26.226559444444444,-97.65531194444445,36.3,3,9400,2,354FBBC8-EAC9-46AC-A73E-85DA7F892A08
SGR,KSGR,Sugar Land Rgnl,HOUSTON,TX,29.62224861111111,-95.65653416666667,81.1,1,8000,1,6B73401D-9E20-42B0-8A5D-E78E6F5C41CB
HOU,KHOU,William P Hobby,HOUSTON,TX,29.64579983333333,-95.27723158333333,46.3,3,7602,2,1836AD48-E874-4A76-AF8B-2B469D143973
IAH,KIAH,George Bush Intcntl/Houston,HOUSTON,TX,29.984435277777777,-95.3414425,95.8,5,12001,5,64E25960-75A0-495F-95BF-C92621C6B448
EFD,KEFD,Ellington,HOUSTON,TX,29.607333333333333,-95.15875000000001,32.5,3,9001,2,34334F6C-D9D8-46A6-9F6B-0828C1F43CFA
CXO,KCXO,Conroe/North Houston Rgnl,HOUSTON,TX,30.353395527777778,-95.41508194444445,244.8,2,7501,1,3B7E97A2-AE0E-4064-8E82-8E7FF31BA4C9
DWH,KDWH,David Wayne Hooks Meml,HOUSTON,TX,30.06177911111111,-95.55278841666666,152.4,7,7009,1,E92929AD-0008-4B1A-BB74-9EA5F332AE0B
LRD,KLRD,Laredo Intl,LAREDO,TX,27.544194444444447,-99.46158333333334,508.0,3,8743,2,1059563D-F4C2-4589-9195-6E5CA989AB68
GGG,KGGG,East Texas Rgnl,LONGVIEW,TX,32.384,-94.7115,365.5,2,10000,1,8C0A415B-29B7-4DB2-A9CF-E94493A448F2
LBB,KLBB,Lubbock Preston Smith Intl,LUBBOCK,TX,33.663666666666664,-101.82055555555556,3282.4,3,11500,2,1CE15049-995F-4618-A937-D6660C074817
MFE,KMFE,Mc Allen Intl,MC ALLEN,TX,26.175833333333333,-98.23861111111111,107.2,2,7120,1,DC76FD2E-D916-4C60-BAF6-9DD18D31C12A
MAF,KMAF,Midland Intl Air and Space Port,MIDLAND,TX,31.942527777777777,-102.20191666666668,2872.1,4,9501,2,CFBA3467-F059-4E18-8810-46B422F1D73B
SJT,KSJT,San Angelo Rgnl/Mathis Fld,SAN ANGELO,TX,31.357748333333333,-100.49630416666666,1918.6,3,8054,1,348367BC-9847-4089-B08B-10A5F87AE706
SKF,KSKF,Kelly Fld,SAN ANTONIO,TX,29.384233333333334,-98.58111666666666,690.6,1,11550,1,D5306C46-CDE9-4AB4-9091-A1BF2ECC132A
PIL,KPIL,Cameron County,PORT ISABEL,TX,26.166194444444443,-97.34588888888888,18.6,4,8001,1,B6C08752-9FFE-49B2-B1C7-D964580B6A8E
SAT,KSAT,San Antonio Intl,SAN ANTONIO,TX,29.533958333333334,-98.46905694444445,809.1,3,8505,2,19784DDA-7416-457C-80E6-583E1AB80A66
GYI,KGYI,North Texas Rgnl/Perrin Fld,SHERMAN/DENISON,TX,33.71409027777778,-96.674035,749.3,2,9000,1,B18D3CB0-AF07-423F-9257-6AAB90B59A10
TYR,KTYR,Tyler Pounds Rgnl,TYLER,TX,32.353547222222225,-95.40297777777778,543.9,3,8334,1,5030F042-6461-4111-AE44-E9136796E710
TPL,KTPL,Draughon-Miller Central Texas Rgnl,TEMPLE,TX,31.151900416666667,-97.40766294444445,682.3,2,7000,1,60C49554-B274-402D-8BE2-2AF93BF34DC0
VCT,KVCT,Victoria Rgnl,VICTORIA,TX,28.854205555555556,-96.91873166666667,115.1,3,9111,1,7B179973-B59D-4F5D-AA22-A66FCE096308
ACT,KACT,Waco Rgnl,WACO,TX,31.612194444444444,-97.23030555555556,516.1,2,7107,1,8CB86952-6933-4F02-AF5A-D5079536F1A4
CNW,KCNW,Tstc Waco,WACO,TX,31.637805555555556,-97.07413888888888,470.2,2,8600,1,4A21922F-455C-4522-8E95-3405C513FEA8
SPS,KSPS,Sheppard AFB/Wichita Falls Muni,WICHITA FALLS,TX,33.9888,-98.49190555555556,1019.1,4,13100,3,3C47F11E-E40D-49DA-91D3-EC448A2703D9
CNY,KCNY,Canyonlands Rgnl,MOAB,UT,38.75763083333333,-109.7534625,4579.2,2,7360,1,AFB7CCB6-0107-4B09-8D12-B15206F731CB
PVU,KPVU,Provo Muni,PROVO,UT,40.219166666666666,-111.72336111111112,4496.9,2,8603,1,9C4FDB73-810A-48AF-B01C-02C21D32C2BF
RIF,KRIF,Richfield Muni,RICHFIELD,UT,38.73411111111111,-112.10158333333332,5318.0,1,7100,1,23A1081F-8EE2-4B88-BE49-27D2516E440C
SGU,KSGU,St George Rgnl,ST GEORGE,UT,37.03637805555555,-113.51030277777778,2883.6,1,9300,1,B7987A74-113C-436D-A21A-5A64578E0C3F
BMC,KBMC,Brigham City Rgnl,BRIGHAM CITY,UT,41.55430555555555,-112.06224999999999,4229.9,1,8900,1,017F457C-3DDB-4BC4-99B6-1EC43C11A6C6
BCE,KBCE,Bryce Canyon,BRYCE CANYON,UT,37.706446944444444,-112.14579972222222,7589.9,1,7395,1,BE2C747F-B941-4C98-8DB9-40C6B82196C5
CDC,KCDC,Cedar City Rgnl,CEDAR CITY,UT,37.700970000000005,-113.09885083333333,5622.3,2,8653,1,12C5D13E-204B-4A41-B9F3-BB199F34D1C5
LGU,KLGU,Logan-Cache,LOGAN,UT,41.79177055555555,-111.85164722222221,4456.9,2,9020,1,7116B6E7-FB4D-4CC0-8E77-506799C61179
OGD,KOGD,Ogden-Hinckley,OGDEN,UT,41.19507036111111,-112.01219472222222,4472.5,2,8107,1,068D16B9-2D76-4385-BB34-54DA39193A0E
PUC,KPUC,Carbon County Rgnl/Buck Davis Fld,PRICE,UT,39.61388888888889,-110.75161111111112,5957.6,3,8316,1,ECFC3396-1581-4611-88E2-342496B1384C
SLC,KSLC,Salt Lake City Intl,SALT LAKE CITY,UT,40.78839333333333,-111.97777333333333,4230.9,6,12002,3,CB41ECB2-ADC7-49A5-9C05-81854AFD415C
VEL,KVEL,Vernal Rgnl,VERNAL,UT,40.436077777777776,-109.5114225,5274.2,1,7000,1,BDD9A95B-0050-449E-97C4-21F68787DF09
ENV,KENV,Wendover,WENDOVER,UT,40.71872527777778,-114.02867361111112,4236.7,2,10002,2,40CC5D64-F5AC-47D8-A6A0-707856F6D7D3
PHF,KPHF,Newport News/Williamsburg Intl,NEWPORT NEWS,VA,37.13188888888889,-76.49297222222222,42.2,2,8003,1,C12231B1-4834-4AB0-8D97-C6639F3B1203
ORF,KORF,Norfolk Intl,NORFOLK,VA,36.89460416666667,-76.20122916666666,26.4,2,9001,1,F6AFBAEB-8596-4755-B871-9007F4AF5DB4
RIC,KRIC,Richmond Intl,RICHMOND,VA,37.50518111111111,-77.3197386111111,167.5,2,9003,1,69E61D8F-915F-4B1D-9666-6338F1F19CD9
LYH,KLYH,Lynchburg Rgnl/Preston Glenn Fld,LYNCHBURG,VA,37.325388888888895,-79.20122222222223,938.2,2,7100,1,AE52D22D-3EA9-41EE-826A-0D8A264148E5
BTV,KBTV,Patrick Leahy Burlington Intl,BURLINGTON,VT,44.471955,-73.15327611111111,334.6,2,8319,1,1642AADF-929B-478E-9026-610124C6D68D
MWH,KMWH,Grant County Intl,MOSES LAKE,WA,47.20858333333334,-119.31913888888889,1188.6,7,13503,2,49277B3A-D818-4E3D-A6AD-73EDAF5AAF2F
PAE,KPAE,Seattle Paine Fld Intl,EVERETT,WA,47.90731805555556,-122.2820938888889,606.9,2,9010,1,32EB01A7-F6A3-4C0F-8238-D92BB8F2B019
PSC,KPSC,Tri-Cities,PASCO,WA,46.26494833333334,-119.1194,410.3,3,7707,2,462AA8E4-0817-43FF-BEB3-D6C773AA08AA
PUW,KPUW,Pullman/Moscow Rgnl,PULLMAN/MOSCOW,WA,46.74169138888889,-117.11161916666666,2566.6,1,7100,1,F0ED1C54-A4B3-4B96-B295-937C89403C7B
BFI,KBFI,Boeing Fld/King County Intl,SEATTLE,WA,47.52997222222222,-122.30194444444444,21.6,2,10007,1,059DA895-D748-4B41-B3FB-237797CEBE75
GEG,KGEG,Spokane Intl,SPOKANE,WA,47.61902777777778,-117.53522222222222,2385.0,2,11002,2,DD6A7C86-3A7B-4074-A841-54670AB26186
EAT,KEAT,Pangborn Meml,WENATCHEE,WA,47.398805555555555,-120.20683333333334,1248.9,1,7000,1,42844049-CAD5-4B8F-BE6C-7A640EC84517
SEA,KSEA,Seattle-Tacoma Intl,SEATTLE,WA,47.449888888888886,-122.31177777777778,432.3,3,11901,3,5338FBAA-B183-4BC0-B3F1-27ABF6D1AD7C
YKM,KYKM,Yakima Air Trml/McAllister Fld,YAKIMA,WA,46.56816722222223,-120.5440625,1098.8,2,7604,1,75418855-E13A-4572-A5F8-10B5AEE8A31A
ATW,KATW,Appleton Intl,APPLETON,WI,44.258093055555555,-88.51907222222222,918.0,2,8003,1,EEEFD337-BC1F-4BF6-9AE1-9E1D09FAABD4
EAU,KEAU,Chippewa Valley Rgnl,EAU CLAIRE,WI,44.86580555555555,-91.48425,913.1,2,8101,1,F0EBF5B3-08F5-4759-9C8F-470602700F52
GRB,KGRB,Green Bay/Austin Straubel Intl,GREEN BAY,WI,44.484633611111114,-88.12971333333333,695.1,2,8700,2,84BA9FED-98A7-4C05-9C27-AB738137414D
JVL,KJVL,Southern Wisconsin Rgnl,JANESVILLE,WI,42.62025277777778,-89.04156694444444,807.8,3,7302,1,D694E2E2-903F-445F-886C-529767FE2D76
LSE,KLSE,La Crosse Rgnl,LA CROSSE,WI,43.87926566666667,-91.25663361111111,655.4,3,8742,1,1BF47BB7-8C8F-49AB-A748-219FE95891EB
CWA,KCWA,Central Wisconsin,MOSINEE,WI,44.77778333333333,-89.66591111111111,1277.3,2,7724,1,0DD901CD-94E0-433B-BC05-09C677EF8D96
MSN,KMSN,Dane County Rgnl/Truax Fld,MADISON,WI,43.13987913888889,-89.33750447222222,886.6,3,9006,2,5D4B0854-E494-455C-8D13-57A663F5C29D
MKE,KMKE,General Mitchell Intl,MILWAUKEE,WI,42.946931944444444,-87.89706444444445,728.4,5,9990,2,1050EB1A-2F00-4552-822E-22DAFB9B7F76
OSH,KOSH,Wittman Rgnl,OSHKOSH,WI,43.98437083333334,-88.5570425,808.5,4,8002,1,2003DCD3-C002-449E-8EF3-1C5A08B2C47C
EZS,KEZS,Shawano Muni,SHAWANO,WI,44.787305833333335,-88.5600125,813.1,3,12000,1,98506F3C-9D55-4768-B3AA-2A82BF46FE00
LWB,KLWB,Greenbrier Valley,LEWISBURG,WV,37.85830666666667,-80.3994825,2301.6,1,7003,1,FE1AA46F-3027-4755-A859-62BBFE9C1BF2
MRB,KMRB,Eastern Wv Rgnl/Shepherd Fld,MARTINSBURG,WV,39.40235777777777,-77.983,564.8,1,8815,1,8B7584DF-9EEE-4944-8BB3-B1C454C9CDA3
PKB,KPKB,Mid-Ohio Valley Rgnl,PARKERSBURG,WV,39.34496194444445,-81.43929305555555,858.5,2,7240,1,E1F951CE-41C3-468A-89A2-1139A06F2ACA
AUW,KAUW,Wausau Downtown,WAUSAU,WI,44.926284527777774,-89.62700174999999,1201.0,3,8000,1,704A8A9E-F637-4376-9B17-E88A5A4AFE06
